#       Freq    Err     Trans
    5.49900E+02    3.63041E+01    1.71128E-16
    5.50000E+02    3.72673E+01    6.53136E-17
    5.50100E+02    3.82727E+01    2.38998E-17
    5.50200E+02    3.93221E+01    8.36839E-18
    5.50300E+02    4.04176E+01    2.79820E-18
    5.50400E+02    4.15623E+01    8.90683E-19
    5.50500E+02    4.27588E+01    2.69198E-19
    5.50600E+02    4.40100E+01    7.70381E-20
    5.50700E+02    4.53212E+01    2.07615E-20
    5.50800E+02    4.67019E+01    5.21952E-21
    5.50900E+02    4.81844E+01    1.18515E-21
    5.51000E+02    4.99676E+01    1.99232E-22
    5.51100E+02    5.12224E+01    5.68061E-23
    5.51200E+02    5.28182E+01    1.15177E-23
    5.51300E+02    5.45331E+01    2.07285E-24
    5.51400E+02    5.63743E+01    3.28829E-25
    5.51500E+02    5.82277E+01    5.15275E-26
    5.51600E+02    6.01772E+01    7.33470E-27
    5.51700E+02    6.22437E+01    9.28772E-28
    5.51800E+02    6.44241E+01    1.04951E-28
    5.51900E+02    6.67147E+01    1.06208E-29
    5.52000E+02    6.91242E+01    9.54466E-31
    5.52100E+02    7.16610E+01    7.55138E-32
    5.52200E+02    7.43307E+01    5.23098E-33
    5.52300E+02    7.71444E+01    3.13768E-34
    5.52400E+02    8.01163E+01    1.60667E-35
    5.52500E+02    8.32529E+01    6.97817E-37
    5.52600E+02    8.65693E+01    2.53190E-38
    5.52700E+02    9.00762E+01    7.59276E-40
    5.52800E+02    9.37937E+01    1.84471E-41
    5.52900E+02    9.77282E+01    3.60730E-43
    5.53000E+02    1.01905E+02    5.53777E-45
    5.53100E+02    1.06337E+02    6.58335E-47
    5.53200E+02    1.11045E+02    5.94046E-49
    5.53300E+02    1.16054E+02    3.96437E-51
    5.53400E+02    1.21384E+02    1.92222E-53
    5.53500E+02    1.27057E+02    6.60571E-56
    5.53600E+02    1.33106E+02    1.55897E-58
    5.53700E+02    1.39551E+02    2.47560E-61
    5.53800E+02    1.46437E+02    2.53023E-64
    5.53900E+02    1.53794E+02    1.61540E-67
    5.54000E+02    1.61656E+02    6.22104E-71
    5.54100E+02    1.70068E+02    1.38157E-74
    5.54200E+02    1.79066E+02    1.70847E-78
    5.54300E+02    1.88710E+02    1.10782E-82
    5.54400E+02    1.99038E+02    3.62063E-87
    5.54500E+02    2.10107E+02    5.64316E-92
    5.54600E+02    2.21972E+02    3.97108E-97
    5.54700E+02    2.34697E+02    1.18189E-100
    5.54800E+02    2.48336E+02    1.40897E-100
    5.54900E+02    2.62957E+02    6.30122E-100
    5.55000E+02    2.78617E+02    9.95761E-100
    5.55100E+02    2.95378E+02    5.23667E-100
    5.55200E+02    3.13299E+02    8.63090E-100
    5.55300E+02    3.32430E+02    4.24045E-100
    5.55400E+02    3.52812E+02    5.96463E-100
    5.55500E+02    3.74468E+02    2.34717E-100
    5.55600E+02    3.97400E+02    2.57960E-100
    5.55700E+02    4.21581E+02    8.11942E-100
    5.55800E+02    4.46948E+02    7.81151E-100
    5.55900E+02    4.73391E+02    2.56461E-100
    5.56000E+02    5.00723E+02    3.45705E-100
    5.56100E+02    5.28721E+02    2.39603E-100
