#	Freq	Err	Tansmission
    2.99900E+02    8.90319E-02    9.14816E-01
    3.00000E+02    8.91138E-02    9.14741E-01
    3.00100E+02    8.93604E-02    9.14516E-01
    3.00200E+02    8.95972E-02    9.14299E-01
    3.00300E+02    9.00044E-02    9.13927E-01
    3.00400E+02    9.08227E-02    9.13180E-01
    3.00500E+02    9.26329E-02    9.11528E-01
    3.00600E+02    9.84492E-02    9.06242E-01
    3.00700E+02    1.21562E-01    8.85537E-01
    3.00800E+02    9.63879E-02    9.08112E-01
    3.00900E+02    9.31813E-02    9.11028E-01
    3.01000E+02    9.24324E-02    9.11711E-01
    3.01100E+02    9.24306E-02    9.11713E-01
    3.01200E+02    9.29506E-02    9.11238E-01
    3.01300E+02    9.40695E-02    9.10219E-01
    3.01400E+02    9.60565E-02    9.08413E-01
    3.01500E+02    9.97588E-02    9.05056E-01
    3.01600E+02    1.07776E-01    8.97829E-01
    3.01700E+02    1.31216E-01    8.77029E-01
    3.01800E+02    2.96970E-01    7.43066E-01
    3.01900E+02    1.45617E-01    8.64489E-01
    3.02000E+02    1.11975E-01    8.94067E-01
    3.02100E+02    1.02058E-01    9.02977E-01
    3.02200E+02    9.78989E-02    9.06741E-01
    3.02300E+02    9.58759E-02    9.08577E-01
    3.02400E+02    9.48739E-02    9.09488E-01
    3.02500E+02    9.45431E-02    9.09788E-01
    3.02600E+02    9.45572E-02    9.09776E-01
    3.02700E+02    9.49939E-02    9.09378E-01
    3.02800E+02    9.61710E-02    9.08309E-01
    3.02900E+02    9.88117E-02    9.05913E-01
    3.03000E+02    1.05559E-01    8.99821E-01
    3.03100E+02    1.30792E-01    8.77400E-01
    3.03200E+02    1.55767E-01    8.55759E-01
    3.03300E+02    1.09429E-01    8.96345E-01
    3.03400E+02    1.00243E-01    9.04618E-01
    3.03500E+02    9.69869E-02    9.07568E-01
    3.03600E+02    9.56900E-02    9.08746E-01
    3.03700E+02    9.44989E-02    9.09829E-01
    3.03800E+02    9.40057E-02    9.10278E-01
    3.03900E+02    9.37864E-02    9.10477E-01
    3.04000E+02    9.36619E-02    9.10591E-01
    3.04100E+02    9.36454E-02    9.10606E-01
    3.04200E+02    9.37131E-02    9.10544E-01
    3.04300E+02    9.38470E-02    9.10422E-01
    3.04400E+02    9.40488E-02    9.10238E-01
    3.04500E+02    9.43284E-02    9.09984E-01
    3.04600E+02    9.47194E-02    9.09628E-01
    3.04700E+02    9.53249E-02    9.09077E-01
    3.04800E+02    9.68455E-02    9.07696E-01
    3.04900E+02    9.58917E-02    9.08562E-01
    3.05000E+02    9.53056E-02    9.09095E-01
    3.05100E+02    9.50770E-02    9.09303E-01
    3.05200E+02    9.49043E-02    9.09460E-01
    3.05300E+02    9.48298E-02    9.09528E-01
    3.05400E+02    9.48106E-02    9.09545E-01
    3.05500E+02    9.48255E-02    9.09532E-01
    3.05600E+02    9.48702E-02    9.09491E-01
    3.05700E+02    9.49351E-02    9.09432E-01
    3.05800E+02    9.50175E-02    9.09357E-01
    3.05900E+02    9.51309E-02    9.09254E-01
    3.06000E+02    9.52621E-02    9.09135E-01
    3.06100E+02    9.53495E-02    9.09055E-01
    3.06200E+02    9.54722E-02    9.08944E-01
    3.06300E+02    9.56057E-02    9.08822E-01
    3.06400E+02    9.57556E-02    9.08686E-01
    3.06500E+02    9.58924E-02    9.08562E-01
    3.06600E+02    9.60459E-02    9.08422E-01
    3.06700E+02    9.62096E-02    9.08274E-01
    3.06800E+02    9.63857E-02    9.08114E-01
    3.06900E+02    9.66377E-02    9.07885E-01
    3.07000E+02    9.67611E-02    9.07773E-01
    3.07100E+02    9.69076E-02    9.07640E-01
    3.07200E+02    9.70977E-02    9.07467E-01
    3.07300E+02    9.73850E-02    9.07207E-01
    3.07400E+02    9.76621E-02    9.06955E-01
    3.07500E+02    9.80366E-02    9.06616E-01
    3.07600E+02    9.80200E-02    9.06631E-01
    3.07700E+02    9.81642E-02    9.06500E-01
    3.07800E+02    9.83533E-02    9.06329E-01
    3.07900E+02    9.85639E-02    9.06138E-01
    3.08000E+02    9.87714E-02    9.05950E-01
    3.08100E+02    9.89914E-02    9.05750E-01
    3.08200E+02    9.92266E-02    9.05538E-01
    3.08300E+02    9.94804E-02    9.05308E-01
    3.08400E+02    9.97850E-02    9.05032E-01
    3.08500E+02    1.00346E-01    9.04524E-01
    3.08600E+02    1.01008E-01    9.03926E-01
    3.08700E+02    1.00610E-01    9.04285E-01
    3.08800E+02    1.00894E-01    9.04029E-01
    3.08900E+02    1.01194E-01    9.03757E-01
    3.09000E+02    1.01271E-01    9.03688E-01
    3.09100E+02    1.01530E-01    9.03454E-01
    3.09200E+02    1.01871E-01    9.03146E-01
    3.09300E+02    1.02209E-01    9.02841E-01
    3.09400E+02    1.02690E-01    9.02407E-01
    3.09500E+02    1.02874E-01    9.02241E-01
    3.09600E+02    1.03307E-01    9.01850E-01
    3.09700E+02    1.03904E-01    9.01312E-01
    3.09800E+02    1.04863E-01    9.00448E-01
    3.09900E+02    1.06712E-01    8.98785E-01
    3.10000E+02    1.13178E-01    8.92992E-01
    3.10100E+02    1.19017E-01    8.87792E-01
    3.10200E+02    1.08436E-01    8.97236E-01
    3.10300E+02    1.06697E-01    8.98798E-01
    3.10400E+02    1.06123E-01    8.99314E-01
