#	Freq	Err	Trans
    2.99900E+02    4.09562E-01    6.63941E-01
    3.00000E+02    4.10105E-01    6.63581E-01
    3.00100E+02    4.10823E-01    6.63105E-01
    3.00200E+02    4.11529E-01    6.62636E-01
    3.00300E+02    4.12411E-01    6.62052E-01
    3.00400E+02    4.13706E-01    6.61196E-01
    3.00500E+02    4.15994E-01    6.59684E-01
    3.00600E+02    4.22292E-01    6.55543E-01
    3.00700E+02    4.45887E-01    6.40256E-01
    3.00800E+02    4.21205E-01    6.56256E-01
    3.00900E+02    4.18491E-01    6.58039E-01
    3.01000E+02    4.18234E-01    6.58208E-01
    3.01100E+02    4.18731E-01    6.57881E-01
    3.01200E+02    4.19751E-01    6.57211E-01
    3.01300E+02    4.21374E-01    6.56144E-01
    3.01400E+02    4.23868E-01    6.54510E-01
    3.01500E+02    4.28079E-01    6.51760E-01
    3.01600E+02    4.36610E-01    6.46224E-01
    3.01700E+02    4.60568E-01    6.30925E-01
    3.01800E+02    6.26846E-01    5.34274E-01
    3.01900E+02    4.76016E-01    6.21254E-01
    3.02000E+02    4.42904E-01    6.42169E-01
    3.02100E+02    4.33520E-01    6.48224E-01
    3.02200E+02    4.29895E-01    6.50578E-01
    3.02300E+02    4.28411E-01    6.51543E-01
    3.02400E+02    4.27954E-01    6.51842E-01
    3.02500E+02    4.28166E-01    6.51703E-01
    3.02600E+02    4.28735E-01    6.51332E-01
    3.02700E+02    4.29729E-01    6.50685E-01
    3.02800E+02    4.31465E-01    6.49557E-01
    3.02900E+02    4.34670E-01    6.47478E-01
    3.03000E+02    4.41987E-01    6.42758E-01
    3.03100E+02    4.67795E-01    6.26382E-01
    3.03200E+02    4.93346E-01    6.10580E-01
    3.03300E+02    4.47591E-01    6.39166E-01
    3.03400E+02    4.38995E-01    6.44684E-01
    3.03500E+02    4.36330E-01    6.46405E-01
    3.03600E+02    4.35634E-01    6.46854E-01
    3.03700E+02    4.35041E-01    6.47238E-01
    3.03800E+02    4.35157E-01    6.47163E-01
    3.03900E+02    4.35552E-01    6.46907E-01
    3.04000E+02    4.36048E-01    6.46587E-01
    3.04100E+02    4.36658E-01    6.46192E-01
    3.04200E+02    4.37355E-01    6.45742E-01
    3.04300E+02    4.38123E-01    6.45246E-01
    3.04400E+02    4.38964E-01    6.44704E-01
    3.04500E+02    4.39887E-01    6.44109E-01
    3.04600E+02    4.40928E-01    6.43439E-01
    3.04700E+02    4.42188E-01    6.42629E-01
    3.04800E+02    4.44369E-01    6.41229E-01
    3.04900E+02    4.44080E-01    6.41414E-01
    3.05000E+02    4.44162E-01    6.41361E-01
    3.05100E+02    4.44604E-01    6.41078E-01
    3.05200E+02    4.45106E-01    6.40756E-01
    3.05300E+02    4.45713E-01    6.40367E-01
    3.05400E+02    4.46378E-01    6.39942E-01
    3.05500E+02    4.47084E-01    6.39490E-01
    3.05600E+02    4.47827E-01    6.39015E-01
    3.05700E+02    4.48594E-01    6.38525E-01
    3.05800E+02    4.49387E-01    6.38019E-01
    3.05900E+02    4.50215E-01    6.37491E-01
    3.06000E+02    4.51072E-01    6.36945E-01
    3.06100E+02    4.51891E-01    6.36424E-01
    3.06200E+02    4.52760E-01    6.35871E-01
    3.06300E+02    4.53641E-01    6.35311E-01
    3.06400E+02    4.54547E-01    6.34735E-01
    3.06500E+02    4.55449E-01    6.34163E-01
    3.06600E+02    4.56379E-01    6.33574E-01
    3.06700E+02    4.57325E-01    6.32974E-01
    3.06800E+02    4.58296E-01    6.32360E-01
    3.06900E+02    4.59354E-01    6.31691E-01
    3.07000E+02    4.60291E-01    6.31100E-01
    3.07100E+02    4.61258E-01    6.30490E-01
    3.07200E+02    4.62284E-01    6.29844E-01
    3.07300E+02    4.63619E-01    6.29003E-01
    3.07400E+02    4.64753E-01    6.28290E-01
    3.07500E+02    4.65990E-01    6.27513E-01
    3.07600E+02    4.66851E-01    6.26973E-01
    3.07700E+02    4.67885E-01    6.26326E-01
    3.07800E+02    4.68976E-01    6.25643E-01
    3.07900E+02    4.70099E-01    6.24940E-01
    3.08000E+02    4.71234E-01    6.24232E-01
    3.08100E+02    4.72393E-01    6.23508E-01
    3.08200E+02    4.73583E-01    6.22767E-01
    3.08300E+02    4.74802E-01    6.22008E-01
    3.08400E+02    4.76085E-01    6.21210E-01
    3.08500E+02    4.77645E-01    6.20243E-01
    3.08600E+02    4.79314E-01    6.19208E-01
    3.08700E+02    4.79944E-01    6.18818E-01
    3.08800E+02    4.81269E-01    6.17999E-01
    3.08900E+02    4.82630E-01    6.17158E-01
    3.09000E+02    4.83783E-01    6.16447E-01
    3.09100E+02    4.85135E-01    6.15614E-01
    3.09200E+02    4.86586E-01    6.14722E-01
    3.09300E+02    4.88056E-01    6.13818E-01
    3.09400E+02    4.89684E-01    6.12820E-01
    3.09500E+02    4.91035E-01    6.11993E-01
    3.09600E+02    4.92654E-01    6.11002E-01
    3.09700E+02    4.94456E-01    6.09903E-01
    3.09800E+02    4.96638E-01    6.08573E-01
    3.09900E+02    4.99726E-01    6.06697E-01
    3.10000E+02    5.07446E-01    6.02031E-01
    3.10100E+02    5.14558E-01    5.97765E-01
    3.10200E+02    5.05260E-01    6.03349E-01
    3.10300E+02    5.04818E-01    6.03616E-01
    3.10400E+02    5.05545E-01    6.03177E-01
    3.10500E+02    5.06775E-01    6.02435E-01
    3.10600E+02    5.08166E-01    6.01598E-01
    3.10700E+02    5.09654E-01    6.00704E-01
    3.10800E+02    5.11200E-01    5.99775E-01
    3.10900E+02    5.12790E-01    5.98822E-01
    3.11000E+02    5.14429E-01    5.97842E-01
